INSEE,Latitude,Longitude
02690,49.6167,3.91667
02691,49.85,3.28333
02693,49.2333,3.3
02694,49.75,3.16667
02695,49.3,3.61667
02696,49.5,3.81667
02697,49.5833,3.73333
02698,49.4333,3.46667
02699,49.2167,3.48333
02701,48.9833,3.3
02702,49.8,3.18333
02703,49.95,3.48333
02704,49.5,3.2
02705,49.5667,4
02706,49.3333,3.35
02707,49.5667,3.38333
02708,49.9167,3.33333
02709,50.0167,3.36667
02710,49.7833,3.21667
02711,49.35,3.45
02712,49.1833,3.56667
02713,49.2,3.53333
02714,49.3667,3.45
02715,49.35,3.68333
02716,49.6167,3.35
02717,49.7667,3.41667
02718,49.2,3.15
02719,49.6,3.25
02720,49.5667,3.9
02721,49.8,3.43333
02722,49.3667,3.33333
02723,49.7,4.08333
02724,49.1333,3.3
02725,49.95,3.95
